ID	population	project	sample_id	person_id	mean_depth	freemix	sex	mother	mother_sequenced_sample_id	mother_ibd	father	father_sequenced_sample_id	father_ibd	comment
SC_GMFUL5306338	GWF	GGVP	SC_GMFUL5306338	154326866	10.91	0	female	192546110	SC_GMFUL5306354	0.005:0.974:0.021	197190584	SC_GMFUL5306346	0.003:0.958:0.039	NA
SC_GMFUL5306339	GWF	GGVP	SC_GMFUL5306339	244699038	12.16	0.0013	female	249140963	SC_GMFUL5306355	0.006:0.981:0.013	245432414	SC_GMFUL5306347	0.003:0.985:0.011	NA
SC_GMFUL5306340	GWF	GGVP	SC_GMFUL5306340	328799914	12.61	0.00024	female	331243099	SC_GMFUL5306356	0.002:0.970:0.028	330338193	SC_GMFUL5306348	0.003:0.972:0.026	NA
SC_GMFUL5306341	GWF	GGVP	SC_GMFUL5306341	423927870	11	0.00052	male	430463864	SC_GMFUL5306357	0.005:0.980:0.015	426110231	SC_GMFUL5306349	0.004:0.984:0.012	NA
SC_GMFUL5306343	GWF	GGVP	SC_GMFUL5306343	183128843	10.22	6.4e-05	female	185038584	SC_GMFUL5306359	0.002:0.953:0.045	183780268	SC_GMFUL5306351	0.004:0.952:0.044	NA
SC_GMFUL5306344	GWF	GGVP	SC_GMFUL5306344	223940404	10.87	0.0011	male	225668895	SC_GMFUL5306360	0.005:0.980:0.014	225208014	SC_GMFUL5306352	0.007:0.979:0.014	NA
SC_GMFUL5306345	GWF	GGVP	SC_GMFUL5306345	317990451	8.75	0.0081	female	319127022	SC_GMFUL5306361	0.005:0.977:0.018	318762181	SC_GMFUL5306353	0.005:0.978:0.017	NA
SC_GMFUL5306346	GWF	GGVP	SC_GMFUL5306346	197190584	10.67	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306347	GWF	GGVP	SC_GMFUL5306347	245432414	9.83	0.0061	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306348	GWF	GGVP	SC_GMFUL5306348	330338193	10.03	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306349	GWF	GGVP	SC_GMFUL5306349	426110231	9.94	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306351	GWF	GGVP	SC_GMFUL5306351	183780268	9.34	6.6e-05	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306352	GWF	GGVP	SC_GMFUL5306352	225208014	10.51	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306353	GWF	GGVP	SC_GMFUL5306353	318762181	9.98	0.00018	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306354	GWF	GGVP	SC_GMFUL5306354	192546110	9.69	0.0004	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306355	GWF	GGVP	SC_GMFUL5306355	249140963	8.88	0.0031	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306356	GWF	GGVP	SC_GMFUL5306356	331243099	11.41	0.0011	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306357	GWF	GGVP	SC_GMFUL5306357	430463864	12.74	0.0011	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306359	GWF	GGVP	SC_GMFUL5306359	185038584	10.81	0.00096	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306360	GWF	GGVP	SC_GMFUL5306360	225668895	10.86	0.0043	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306361	GWF	GGVP	SC_GMFUL5306361	319127022	10.32	3.4e-05	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306362_LQ	GWF	GGVP	SC_GMFUL5306362	323677047	6.49	0.00066	male	324950161	SC_GMFUL5306378	NA	331716624	SC_GMFUL5306370	NA	NA
SC_GMFUL5306362_WGA_noPCR	GWF	GGVP	SC_GMFUL5306362	323677047	9.3	0.0002	male	324950161	SC_GMFUL5306378	NA	331716624	SC_GMFUL5306370	NA	NA
SC_GMFUL5306362_WGA_std	GWF	GGVP	SC_GMFUL5306362	323677047	9.2	0.00034	male	324950161	SC_GMFUL5306378	NA	331716624	SC_GMFUL5306370	NA	NA
SC_GMFUL5306362	GWF	GGVP	SC_GMFUL5306362	323677047	9.83	0.00057	male	324950161	SC_GMFUL5306378	0.007:0.979:0.015	331716624	SC_GMFUL5306370	0.006:0.981:0.013	NA
SC_GMFUL5306363	GWF	GGVP	SC_GMFUL5306363	257924465	11.21	0	male	266252095	SC_GMFUL5306379	0.006:0.981:0.013	263704037	SC_GMFUL5306371	0.007:0.980:0.013	NA
SC_GMFUL5306366	GWF	GGVP	SC_GMFUL5306366	133937001	11.06	0.00055	male	139507209	SC_GMFUL5306382	0.004:0.970:0.025	136094581	SC_GMFUL5306374	0.001:0.973:0.025	NA
SC_GMFUL5306367	GWF	GGVP	SC_GMFUL5306367	189661318	10.3	0.0041	male	191094463	SC_GMFUL5306383	0.006:0.984:0.009	190849231	SC_GMFUL5306375	0.003:0.987:0.011	NA
SC_GMFUL5306369	GWF	GGVP	SC_GMFUL5306369	365779057	12.25	0.00036	male	373783211	SC_GMFUL5306385	0.006:0.987:0.007	370896607	SC_GMFUL5306377	0.004:0.982:0.014	NA
SC_GMFUL5306370_LQ	GWF	GGVP	SC_GMFUL5306370	331716624	6.18	0.00043	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306370_WGA_noPCR	GWF	GGVP	SC_GMFUL5306370	331716624	9.29	0.00032	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306370_WGA_std	GWF	GGVP	SC_GMFUL5306370	331716624	8.58	0.0004	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306370	GWF	GGVP	SC_GMFUL5306370	331716624	9.59	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306371	GWF	GGVP	SC_GMFUL5306371	263704037	10.47	0.00017	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306374	GWF	GGVP	SC_GMFUL5306374	136094581	13.19	0.00019	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306375	GWF	GGVP	SC_GMFUL5306375	190849231	10.42	0.00044	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306377	GWF	GGVP	SC_GMFUL5306377	370896607	10.96	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306378_LQ	GWF	GGVP	SC_GMFUL5306378	324950161	6.3	0.00033	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306378_WGA_noPCR	GWF	GGVP	SC_GMFUL5306378	324950161	9.84	0.00016	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306378_WGA_std	GWF	GGVP	SC_GMFUL5306378	324950161	8.69	0.00049	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306378	GWF	GGVP	SC_GMFUL5306378	324950161	10.83	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306379	GWF	GGVP	SC_GMFUL5306379	266252095	9.35	0.0027	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306382	GWF	GGVP	SC_GMFUL5306382	139507209	9.6	0.00038	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306383	GWF	GGVP	SC_GMFUL5306383	191094463	9.68	0.0015	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306385	GWF	GGVP	SC_GMFUL5306385	373783211	9.14	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306387	GWF	GGVP	SC_GMFUL5306387	302044641	9.37	0.0019	male	306940373	SC_GMFUL5306403	0.005:0.977:0.018	306057071	SC_GMFUL5306395	0.004:0.971:0.025	NA
SC_GMFUL5306388	GWF	GGVP	SC_GMFUL5306388	409267929	9.47	0.00011	male	410586881	SC_GMFUL5306404	0.007:0.965:0.028	410036222	SC_GMFUL5306396	0.005:0.983:0.012	NA
SC_GMFUL5306389	GWF	GGVP	SC_GMFUL5306389	100326578	9.34	0.00029	male	102375633	SC_GMFUL5306405	0.006:0.964:0.030	100482391	SC_GMFUL5306397	0.003:0.961:0.035	NA
SC_GMFUL5306390	GWF	GGVP	SC_GMFUL5306390	150669555	13.38	0.00013	female	152279154	SC_GMFUL5306406	0.005:0.982:0.013	151150199	SC_GMFUL5306398	0.005:0.983:0.012	NA
SC_GMFUL5306391	GWF	GGVP	SC_GMFUL5306391	191752831	9.94	0	female	194553007	SC_GMFUL5306407	0.006:0.958:0.036	192279050	SC_GMFUL5306399	0.008:0.955:0.037	NA
SC_GMFUL5306392	GWF	GGVP	SC_GMFUL5306392	293530137	9.43	0	male	295198776	SC_GMFUL5306408	0.005:0.943:0.052	295049699	SC_GMFUL5306400	0.004:0.939:0.058	NA
SC_GMFUL5306395	GWF	GGVP	SC_GMFUL5306395	306057071	9.7	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306396	GWF	GGVP	SC_GMFUL5306396	410036222	9.7	9.4e-05	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306397	GWF	GGVP	SC_GMFUL5306397	100482391	9.4	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306398	GWF	GGVP	SC_GMFUL5306398	151150199	9.09	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306399	GWF	GGVP	SC_GMFUL5306399	192279050	9.63	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306400	GWF	GGVP	SC_GMFUL5306400	295049699	9.79	0.00071	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306403	GWF	GGVP	SC_GMFUL5306403	306940373	9.15	6.9e-05	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306404	GWF	GGVP	SC_GMFUL5306404	410586881	8.89	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306405	GWF	GGVP	SC_GMFUL5306405	102375633	8.01	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306406	GWF	GGVP	SC_GMFUL5306406	152279154	9.85	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306407	GWF	GGVP	SC_GMFUL5306407	194553007	9.14	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306408	GWF	GGVP	SC_GMFUL5306408	295198776	9.03	0.00031	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306410	GWF	GGVP	SC_GMFUL5306410	547557646	8.49	0	male	550366867	SC_GMFUL5306426	0.005:0.921:0.074	555985914	SC_GMFUL5306418	0.007:0.953:0.040	NA
SC_GMFUL5306411	GWF	GGVP	SC_GMFUL5306411	315137097	8.1	0	male	316042602	SC_GMFUL5306427	0.006:0.967:0.027	315544046	SC_GMFUL5306419	0.007:0.966:0.027	NA
SC_GMFUL5306412	GWF	GGVP	SC_GMFUL5306412	420349683	10.53	0.0034	female	422925028	SC_GMFUL5306428	0.006:0.979:0.015	422924339	SC_GMFUL5306420	0.005:0.984:0.011	NA
SC_GMFUL5306413	GWF	GGVP	SC_GMFUL5306413	102520007	10.54	0	male	106028509	SC_GMFUL5306429	0.004:0.965:0.031	103883467	SC_GMFUL5306421	0.005:0.947:0.048	NA
SC_GMFUL5306415	GWF	GGVP	SC_GMFUL5306415	200028113	9.48	0	male	204917656	SC_GMFUL5306431	0.007:0.981:0.012	203604550	SC_GMFUL5306423	0.007:0.983:0.011	NA
SC_GMFUL5306416	GWF	GGVP	SC_GMFUL5306416	307133497	11.15	2.9e-06	male	314221155	SC_GMFUL5306432	0.004:0.934:0.062	308419522	SC_GMFUL5306424	0.004:0.918:0.078	NA
SC_GMFUL5306418	GWF	GGVP	SC_GMFUL5306418	555985914	11.44	0.00012	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306419	GWF	GGVP	SC_GMFUL5306419	315544046	9.88	0.0014	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306420	GWF	GGVP	SC_GMFUL5306420	422924339	8.62	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306421	GWF	GGVP	SC_GMFUL5306421	103883467	9.75	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306423	GWF	GGVP	SC_GMFUL5306423	203604550	10.26	0.00097	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306424	GWF	GGVP	SC_GMFUL5306424	308419522	10.98	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306426	GWF	GGVP	SC_GMFUL5306426	550366867	10.22	0.00081	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306427	GWF	GGVP	SC_GMFUL5306427	316042602	9.53	0.0021	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306428	GWF	GGVP	SC_GMFUL5306428	422925028	10.12	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306429	GWF	GGVP	SC_GMFUL5306429	106028509	9.62	0.0041	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306431	GWF	GGVP	SC_GMFUL5306431	204917656	8.9	0.0046	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5306432	GWF	GGVP	SC_GMFUL5306432	314221155	8.46	0.00031	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309700	GWF	GGVP	SC_GMFUL5309700	250850080	7.56	0.0026	female	252003901	SC_GMFUL5309716	0.007:0.980:0.013	251244148	SC_GMFUL5309708	0.016:0.972:0.012	NA
SC_GMFUL5309701	GWF	GGVP	SC_GMFUL5309701	292077058	8.66	0.13	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309702	GWF	GGVP	SC_GMFUL5309702	358520391	7.84	0.00029	female	362966676	SC_GMFUL5309718	0.006:0.963:0.031	360268719	SC_GMFUL5309710	0.008:0.942:0.050	NA
SC_GMFUL5309703	GWF	GGVP	SC_GMFUL5309703	416092959	8.11	0	male	419277377	SC_GMFUL5309719	0.013:0.972:0.016	419059341	SC_GMFUL5309711	0.005:0.968:0.026	NA
SC_GMFUL5309708	GWF	GGVP	SC_GMFUL5309708	251244148	8.07	0.00048	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309709	GWF	GGVP	SC_GMFUL5309709	292743969	8.35	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309710	GWF	GGVP	SC_GMFUL5309710	360268719	9.08	0.0066	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309711	GWF	GGVP	SC_GMFUL5309711	419059341	8.36	0.0058	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309716	GWF	GGVP	SC_GMFUL5309716	252003901	9.67	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309717	GWF	GGVP	SC_GMFUL5309717	293279582	7.99	0.00025	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309718	GWF	GGVP	SC_GMFUL5309718	362966676	9.65	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309719	GWF	GGVP	SC_GMFUL5309719	419277377	9.38	0.00043	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309722	GWF	GGVP	SC_GMFUL5309722	126207979	8.55	0.0017	female	131318718	SC_GMFUL5309738	0.005:0.983:0.012	126541953	SC_GMFUL5309730	0.006:0.952:0.041	NA
SC_GMFUL5309725	GWF	GGVP	SC_GMFUL5309725	295502897	9.3	0.3	female	297624574	SC_GMFUL5309741	0.212:0.787:0.002	295602382	SC_GMFUL5309733	0.219:0.778:0.003	NA
SC_GMFUL5309730	GWF	GGVP	SC_GMFUL5309730	126541953	9.91	0.036	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309733	GWF	GGVP	SC_GMFUL5309733	295602382	9.67	0.0035	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309735	GWF	GGVP	SC_GMFUL5309735	485209069	13.33	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309738	GWF	GGVP	SC_GMFUL5309738	131318718	11.69	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309741	GWF	GGVP	SC_GMFUL5309741	297624574	12.01	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309747	GWF	GGVP	SC_GMFUL5309747	227098123	11.71	0	male	230184442	SC_GMFUL5309763	0.003:0.982:0.015	229790997	SC_GMFUL5309755	0.004:0.979:0.017	NA
SC_GMFUL5309748	GWF	GGVP	SC_GMFUL5309748	267690151	13.1	0.0017	female	272384511	SC_GMFUL5309764	0.006:0.983:0.010	268805708	SC_GMFUL5309756	0.004:0.979:0.017	NA
SC_GMFUL5309755	GWF	GGVP	SC_GMFUL5309755	229790997	12.73	0.00093	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309756	GWF	GGVP	SC_GMFUL5309756	268805708	12.93	0.00036	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309763	GWF	GGVP	SC_GMFUL5309763	230184442	10.66	0.004	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309764	GWF	GGVP	SC_GMFUL5309764	272384511	9.02	0.00047	female	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309773	GWF	GGVP	SC_GMFUL5309773	343276970	10.22	0.00078	female	343938875	SC_GMFUL5309789	0.002:0.955:0.043	343389795	SC_GMFUL5309781	0.003:0.942:0.055	NA
SC_GMFUL5309781	GWF	GGVP	SC_GMFUL5309781	343389795	10.59	0.0077	male	NA	NA	NA	NA	NA	NA	NA
SC_GMFUL5309789	GWF	GGVP	SC_GMFUL5309789	343938875	13.62	0.0018	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309796	GWJ	GGVP	SC_GMJOL5309796	242113916	12.01	0	female	252228105	SC_GMJOL5309812	0.003:0.984:0.014	257811328	SC_GMJOL5309804	0.003:0.983:0.014	NA
SC_GMJOL5309797	GWJ	GGVP	SC_GMJOL5309797	347093440	10.61	0	female	348124244	SC_GMJOL5309813	0.007:0.966:0.028	348137473	SC_GMJOL5309805	0.003:0.984:0.013	NA
SC_GMJOL5309804	GWJ	GGVP	SC_GMJOL5309804	257811328	13.36	0.00073	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309805	GWJ	GGVP	SC_GMJOL5309805	348137473	12.7	0.00025	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309812	GWJ	GGVP	SC_GMJOL5309812	252228105	11.49	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309813	GWJ	GGVP	SC_GMJOL5309813	348124244	10.4	0.0001	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309819	GWJ	GGVP	SC_GMJOL5309819	125629846	10.37	0.00033	female	127136473	SC_GMJOL5309835	0.004:0.968:0.028	131728599	SC_GMJOL5309827	0.004:0.965:0.030	NA
SC_GMJOL5309820	GWJ	GGVP	SC_GMJOL5309820	259493861	12.35	0	female	264588601	SC_GMJOL5309836	0.003:0.969:0.028	267329873	SC_GMJOL5309828	0.006:0.983:0.011	NA
SC_GMJOL5309821	GWJ	GGVP	SC_GMJOL5309821	353773249	8.2	0.001	female	361925422	SC_GMJOL5309837	0.008:0.974:0.018	373643353	SC_GMJOL5309829	0.006:0.976:0.017	NA
SC_GMJOL5309827	GWJ	GGVP	SC_GMJOL5309827	131728599	14.57	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309828	GWJ	GGVP	SC_GMJOL5309828	267329873	10.07	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309829	GWJ	GGVP	SC_GMJOL5309829	373643353	9.16	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309835	GWJ	GGVP	SC_GMJOL5309835	127136473	9.98	5.6e-05	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309836	GWJ	GGVP	SC_GMJOL5309836	264588601	13.9	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309837	GWJ	GGVP	SC_GMJOL5309837	361925422	11.12	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309843	GWJ	GGVP	SC_GMJOL5309843	133612993	11.77	0.00017	female	135099931	SC_GMJOL5309859	0.004:0.979:0.017	140599023	SC_GMJOL5309851	0.008:0.973:0.019	NA
SC_GMJOL5309844	GWJ	GGVP	SC_GMJOL5309844	294002739	8.08	0	male	307909651	SC_GMJOL5309860	0.010:0.968:0.022	310442056	SC_GMJOL5309852	0.010:0.979:0.011	NA
SC_GMJOL5309851	GWJ	GGVP	SC_GMJOL5309851	140599023	7.39	2e-05	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309852	GWJ	GGVP	SC_GMJOL5309852	310442056	15.62	0.00054	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309859	GWJ	GGVP	SC_GMJOL5309859	135099931	13.42	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309860	GWJ	GGVP	SC_GMJOL5309860	307909651	10.07	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309867	GWJ	GGVP	SC_GMJOL5309867	152186815	11.43	0	female	158025517	SC_GMJOL5309883	0.006:0.975:0.019	158231140	SC_GMJOL5309875	0.004:0.971:0.025	NA
SC_GMJOL5309868	GWJ	GGVP	SC_GMJOL5309868	312769338	9.35	0.0013	male	319735774	SC_GMJOL5309884	0.003:0.976:0.020	321562521	SC_GMJOL5309876	0.004:0.979:0.016	NA
SC_GMJOL5309875	GWJ	GGVP	SC_GMJOL5309875	158231140	10.46	0	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309876	GWJ	GGVP	SC_GMJOL5309876	321562521	12.6	0.0029	male	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309883	GWJ	GGVP	SC_GMJOL5309883	158025517	10.93	0	female	NA	NA	NA	NA	NA	NA	NA
SC_GMJOL5309884	GWJ	GGVP	SC_GMJOL5309884	319735774	11.61	0.00034	female	NA	NA	NA	NA	NA	NA	NA
